production_id,farm_name,field_id,field_location,crop_type,crop_variety,planting_date,harvest_date,fertilizer_type,fertilizer_quantity_kg,pesticide_type,pesticide_quantity_ltr,irrigation_type,irrigation_quantity_ltr,total_yield_kg,avg_yield_per_hectare,soil_ph,rainfall_mm,avg_temperature_c,labor_hours,number_of_workers,machinery_used,expected_market_price_per_kg,expected_total_revenue_eur
1,Johnson LLC,F-858,East Donald,Wheat,Durum,2024-09-09,2025-01-12,Compost,71.7,Chlorpyrifos,5.8,Drip,828.0,3204.0,4112.6,6.51,215.9,14.8,147.5,10,Harvester,0.42,1345.69
2,"Yang, Gardner and Garza",F-814,North Claytonbury,Corn,Dent,2023-07-20,2023-11-22,Urea,135.1,Glyphosate,10.4,Sprinkler,653.3,8284.9,16149.9,6.26,415.4,16.8,89.7,2,Plough,1.27,10521.79
3,"Johnson, Gonzalez and Santos",F-982,Robinsonshire,Soybean,Yellow,2024-05-28,2024-10-13,Urea,194.3,Neem Oil,6.7,Flood,841.8,1709.2,1573.3,6.08,247.9,15.3,65.2,6,Harvester,1.05,1794.66
4,Blake and Sons,F-799,Petersonberg,Barley,Hulled,2023-12-04,2024-04-19,Compost,67.9,Neem Oil,9.3,Flood,867.2,4197.4,2280.8,6.42,362.0,25.0,153.2,5,Plough,1.14,4785.08
5,Garcia-James,F-167,Melanieview,Barley,Hulled,2023-10-16,2024-02-12,NPK 15-15-15,278.3,Neem Oil,26.9,Sprinkler,818.9,8396.2,3979.1,6.5,730.8,21.0,71.4,4,Tractor,0.78,6549.05
6,Blair PLC,F-241,South Christianport,Potato,Red,2025-01-17,2025-06-10,Compost,173.4,Glyphosate,26.5,Drip,1441.2,9080.4,6991.4,7.08,453.3,12.9,107.2,9,Plough,0.56,5085.03
7,"Montgomery, Hensley and Ray",F-756,North Donnaport,Barley,Hulled,2025-02-04,2025-05-19,Urea,77.9,Chlorpyrifos,9.0,Drip,1930.7,7135.4,4533.5,7.25,358.0,19.0,76.8,3,Plough,0.62,4423.94
8,Delacruz Group,F-643,Shawnstad,Barley,Hulled,2023-07-02,2023-10-19,NPK 15-15-15,199.7,Chlorpyrifos,5.5,Sprinkler,1818.1,4365.2,5303.4,7.16,384.5,12.8,181.7,3,Tractor,1.44,6285.92
9,Kelly-Santiago,F-662,New Cynthiaside,Soybean,Yellow,2023-09-05,2024-02-10,NPK 15-15-15,116.3,Neem Oil,15.6,Drip,1893.4,7892.5,10429.0,7.01,613.9,22.0,109.8,7,Harvester,0.87,6866.48
10,Martin Group,F-667,Veronicaside,Potato,Red,2024-11-18,2025-03-03,NPK 15-15-15,197.1,Glyphosate,6.8,Flood,588.3,3231.2,5144.7,5.63,218.8,16.6,127.1,6,Plough,0.33,1066.28
11,"Nguyen, Tate and Brown",F-584,Port Leslieview,Soybean,Yellow,2023-10-19,2024-03-26,NPK 15-15-15,246.2,Chlorpyrifos,9.8,Drip,1488.5,2190.8,924.0,6.21,446.7,24.1,58.1,3,Tractor,0.99,2168.9
12,Gentry PLC,F-532,Jasonfort,Soybean,Black,2023-06-22,2023-10-03,NPK 15-15-15,119.6,Glyphosate,26.9,Drip,1164.7,3237.9,3677.7,7.22,530.2,12.7,199.9,2,Tractor,0.84,2719.84
13,"Ellis, Baker and Wright",F-160,Juliechester,Corn,Sweet,2024-03-04,2024-07-24,NPK 15-15-15,144.7,Chlorpyrifos,11.6,Sprinkler,927.9,5370.8,5790.6,6.89,638.3,23.0,149.3,9,Tractor,0.78,4189.2
14,"Ross, Robinson and Bright",F-865,Daviston,Corn,Dent,2025-03-29,2025-07-24,Urea,64.3,Neem Oil,16.9,Flood,736.1,9718.4,5860.2,7.42,248.1,14.6,139.3,5,Harvester,0.95,9232.47
15,Hernandez and Sons,F-635,Carlsonfurt,Wheat,Durum,2025-02-28,2025-06-03,Urea,283.7,Glyphosate,21.7,Sprinkler,858.0,6574.4,4912.0,6.29,603.0,16.2,97.4,3,Tractor,1.0,6574.43
