sales_id,production_id,crop_type,crop_variety,buyer_name,buyer_type,buyer_region,channel_type,transaction_date,quantity_sold_kg,unit_price_eur,total_revenue_eur,discount_applied_eur,net_revenue_eur,shipping_cost_eur,profit_margin_pct,market_price_per_kg,price_variance
1,2874,Soybean,Yellow,Spencer-Underwood,Retailer,Hesse,Direct,2025-04-14,284.6,0.44,125.22,48.48,-8.91,85.65,12.45,0.43,0.01
2,5378,Soybean,Black,Mercado PLC,Retailer,Brandenburg,Cooperative,2025-01-03,946.8,1.13,1069.88,47.74,969.82,52.32,6.44,1.14,-0.01
3,981,Potato,Russet,Suarez-Davis,Retailer,Brandenburg,Direct,2024-07-14,621.2,0.62,385.14,31.24,339.57,14.33,19.62,0.63,-0.01
4,5762,Barley,Hulled,Thompson PLC,Wholesaler,Saxony,Cooperative,2024-11-30,426.1,0.6,255.66,45.47,127.4,82.79,21.64,0.63,-0.03
5,8281,Soybean,Black,Lawson-Lawrence,Wholesaler,Bavaria,Cooperative,2025-04-03,1091.5,0.91,993.26,47.46,910.26,35.54,5.4,0.92,-0.01
6,1885,Corn,Sweet,Tanner-Drake,Exporter,Brandenburg,Online,2025-03-20,914.4,0.62,566.93,33.25,456.82,76.86,5.69,0.58,0.04
7,7255,Wheat,Durum,Johnson-Moyer,Retailer,Hesse,Cooperative,2025-04-17,1993.1,0.98,1953.24,49.15,1843.43,60.66,11.03,1.05,-0.07
8,13297,Soybean,Yellow,Palmer PLC,Retailer,Lower Saxony,Cooperative,2025-03-08,1287.2,0.41,527.75,14.55,441.41,71.79,14.76,0.43,-0.02
9,12970,Wheat,Durum,Li-Drake,Retailer,Hesse,Cooperative,2025-02-22,849.1,0.72,611.35,15.74,545.76,49.85,13.97,0.7,0.02
10,3734,Wheat,Emmer,"Robinson, Clay and Hoffman",Retailer,Brandenburg,Direct,2025-04-19,661.6,0.67,443.27,24.35,353.68,65.24,14.16,0.64,0.03
11,10899,Corn,Sweet,Waller and Sons,Exporter,Brandenburg,Cooperative,2025-03-02,721.2,1.15,829.38,40.84,743.73,44.81,23.65,1.19,-0.04
12,3736,Corn,Dent,Young and Sons,Retailer,Lower Saxony,Direct,2024-10-29,1618.6,1.33,2152.74,17.65,2121.26,13.83,21.1,1.28,0.05
13,2509,Barley,Hulled,Olson Ltd,Retailer,Saxony,Cooperative,2025-03-14,1606.7,1.05,1687.04,13.66,1577.66,95.72,6.99,1.16,-0.11
14,10728,Potato,Russet,"Woods, Burke and Murray",Retailer,Hesse,Cooperative,2024-11-06,1144.1,0.82,938.16,18.36,832.07,87.73,21.15,0.87,-0.05
15,4532,Corn,Dent,Johnson Inc,Wholesaler,Hesse,Direct,2024-12-31,377.8,1.01,381.58,20.06,324.39,37.13,5.36,0.93,0.08
16,10715,Soybean,Yellow,Carroll Ltd,Retailer,Brandenburg,Cooperative,2024-12-06,625.7,1.49,932.29,26.61,817.06,88.62,7.73,1.43,0.06
17,10647,Barley,Hulless,"Chavez, Hansen and Caldwell",Retailer,Lower Saxony,Online,2025-05-05,1126.4,0.45,506.88,41.47,367.92,97.49,12.68,0.47,-0.02
18,14063,Potato,Red,Molina Inc,Wholesaler,Bavaria,Cooperative,2025-04-13,1809.2,1.33,2406.24,44.54,2334.75,26.95,18.09,1.22,0.11
19,2094,Corn,Sweet,Hill-Parker,Retailer,Lower Saxony,Cooperative,2025-03-29,1162.6,0.56,651.06,6.49,605.06,39.51,5.14,0.57,-0.01
20,9904,Corn,Dent,"White, Cox and Smith",Wholesaler,Hesse,Cooperative,2025-05-05,805.1,0.79,636.03,35.78,505.65,94.6,18.67,0.75,0.04
21,5296,Potato,Russet,Burke Ltd,Wholesaler,Lower Saxony,Cooperative,2024-04-10,1996.6,1.15,2296.09,43.56,2191.7,60.83,7.33,1.07,0.08
22,14076,Barley,Hulless,Smith and Sons,Retailer,Hesse,Cooperative,2024-11-01,753.3,1.15,866.29,14.73,765.5,86.06,19.35,1.17,-0.02
23,2253,Potato,Russet,Hughes LLC,Wholesaler,Saxony,Direct,2024-11-01,300.1,0.39,117.04,5.35,23.97,87.72,6.57,0.36,0.03
24,4166,Potato,Russet,Young PLC,Exporter,Brandenburg,Cooperative,2025-03-24,214.5,0.49,105.1,2.07,28.94,74.09,20.88,0.49,0.0
